pickup_hour,Average_Revenue,Trips,Revenue Score
0,19.159867674858226,65067,1246675.11
1,17.156069824979383,43652,748896.76
2,16.12817230246389,29425,474571.47000000003
3,17.204593916588273,19134,329192.7
4,23.201017526777022,12324,285929.34
5,26.98989655172414,15370,414834.71
6,21.599711105373384,34857,752901.13
7,18.539083975648275,74081,1373393.88
8,16.987546131219794,105731,1796110.24
9,17.125697930571366,122111,2091236.1
10,17.403912734082397,133500,2323422.35
11,17.231094595529722,144510,2490065.48
12,17.505178248350024,156972,2747822.84
13,18.052650246364838,165811,2993327.99
14,18.656786695848332,178651,3333053.6000000006
15,18.743065656162745,188025,3524164.92
16,18.814551226884408,190564,3585376.14
17,17.366808078463237,206772,3590969.64
18,16.355629081791324,205792,3365857.62
19,17.044198606271777,174496,2974144.48
20,17.756944535983166,157796,2801974.82
21,17.97904541201693,161389,2901620.16
22,18.518462445079333,134057,2482529.52
23,19.630093241824103,94271,1850548.52
