pickup_hour,tip_pct
0,22.299256461912705
1,22.481046121410024
2,22.110132606968737
3,21.49201855424308
4,19.698351620659356
5,18.2772167084634
6,19.09619565051353
7,20.57113349488521
8,21.402542676875854
9,21.329640462581057
10,21.08695087201254
11,20.909938215498933
12,21.009055820893074
13,20.943943775386053
14,20.98482415555495
15,23.20544502289849
16,23.106859116002106
17,24.037267177663573
18,24.48033753275639
19,24.445708588379382
20,23.490776146779442
21,23.562220348347655
22,23.12654436512923
23,22.50870484424544
